X_POS,Y_POS,Z_POS,width,length,angle,I1_x,I1_y,I1_z,I2_x,I2_y,I2_z,I3_x,I3_y,I3_z,I4_x,I4_y,I4_z,
24.33735453,3.872920167,62.02813376,14.49177193,30.49764856,72.03071648,-9.726231434,4.896159873,3.22647379,-48.32158358,-0.144238578,15.86659485,0,0,0,0,0,0,
24.35390611,3.802572958,64.14526663,14.52400398,30.36271738,72.10560115,-10.57882889,4.227875361,5.373120055,-48.24433062,0.050945782,16.02795882,0,0,0,0,0,0,
29.36033787,0.185585405,82.90328563,10.35986778,24.60971474,90.3037417,-15.67026339,0.066777542,-3.632898495,-5.756421796,-0.057394641,-1.779880755,0,0,0,0,0,0,
28.29212645,0.340949768,76.00103286,6.187320216,24.61596254,87.8435888,-15.33849163,0.093568947,-3.768711569,-13.24186631,-0.070171039,3.903707728,0,0,0,0,0,0,
27.45052882,-0.621777093,72.39036672,5.266275866,24.60737066,91.1073668,-14.79154135,0.074492027,-3.757449558,-18.46531036,0.124887852,6.76736486,0,0,0,0,0,0,
27.35227528,-0.319815414,75.89699385,3.901472075,24.61017338,90.27787454,-14.49740625,0.088749605,-3.887539448,-16.37939575,0.062102143,7.630256456,0,0,0,0,0,0,
27.34596313,-0.318559419,78.1432606,3.898881885,24.6108314,90.3124526,-14.24381525,0.087103904,-4.108738596,-14.46936573,0.051707731,6.976096197,0,0,0,0,0,0,
27.54469366,1.874561043,71.62895889,6.393604262,25.20505702,89.73697447,-14.70536268,-1.928517044,-3.441240321,-17.44963287,9.958591108,0.689324732,0,0,0,0,0,0,
27.25710213,1.430896931,77.94838921,3.842610359,24.72325779,91.32341945,-14.52883425,-0.607236304,-3.974863486,-16.06181337,5.715035048,5.527196305,0,0,0,0,0,0,
27.26194057,1.317340208,80.05303448,3.902418137,24.60760306,91.54429207,-14.21580491,-0.121675152,-3.933573189,-14.48989546,3.381800764,6.184031627,0,0,0,0,0,0,
27.37238702,3.52145412,73.5258627,5.003258705,30.59561254,91.36253955,-14.79312206,-0.8110787,-3.536988294,-16.7929639,8.683626727,-0.367535381,0,0,0,0,0,0,
27.32891927,3.552114298,76.65933398,4.860975282,30.46389151,91.46887253,-14.62088402,-0.304614654,-3.744458128,-15.34863129,6.731149308,2.681132823,0,0,0,0,0,0,
27.25322392,3.578419674,80.03541474,3.835169781,30.37300914,91.37076467,-14.29431846,0.178284927,-3.897424801,-14.06095567,4.755173572,4.350491575,0,0,0,0,0,0,
27.5668133,-0.308354857,74.47374133,5.298274024,24.60794787,90.14465956,-14.89351952,-0.121387482,10.42693059,-19.33158253,0.036046733,6.380835517,0,0,0,0,0,0,
27.46556692,1.592279992,81.2109376,5.666477214,24.68328614,90.69629438,-14.34681296,-0.163365453,10.14305949,-16.83393932,6.051884675,5.850723626,0,0,0,0,0,0,
27.38783538,3.80685825,84.61156675,5.612386227,30.31327978,90.86412848,-13.7896516,0.418351202,9.868050145,-14.48532576,4.886777413,4.574868755,0,0,0,0,0,0,
27.65923233,-0.011107255,81.02845174,5.697890265,24.55940615,89.33979504,-15.88132606,0.029249286,11.74845344,-19.53573802,0.064358382,6.366735837,0,0,0,0,0,0,
27.55909752,1.259323155,85.52478681,5.801731597,24.67965867,91.67233141,-15.6330341,-0.117382222,11.56981215,-17.27489864,6.374341253,5.883503067,0,0,0,0,0,0,
27.51764753,3.261572971,87.99974183,5.697234154,30.28198308,91.90944443,-15.41210199,0.132231944,11.44359788,-15.31517084,5.38382702,4.858992298,0,0,0,0,0,0,
27.54034192,3.731171192,70.76557014,5.389668448,31.01251908,89.32457861,-14.43205231,8.699810027,-0.316585049,-18.56040042,-1.814888405,6.588897653,0,0,0,0,0,0,
27.28619195,5.882642373,76.74992355,4.43538953,24.82053216,88.89227453,-14.30940002,8.895514966,-0.275156401,-16.25666085,5.673873855,5.895278916,0,0,0,0,0,0,
27.28744917,7.657676484,79.37276411,4.326487541,24.60771801,90.00407296,-13.98008302,8.582695634,-0.068640633,-14.27194047,5.005237154,4.455164785,0,0,0,0,0,0,
27.64068777,4.040558434,74.90266386,5.840305801,30.94700419,88.47550287,-15.2378954,7.209901052,7.274657787,-19.28640181,-1.231168571,6.316576955,0,0,0,0,0,0,
27.47551662,4.355667222,79.78116761,5.923905369,30.86786847,87.53424091,-14.76644639,7.164649795,7.094318341,-17.10569435,-0.28163663,8.188394561,0,0,0,0,0,0,
27.37120207,3.948974032,84.12121695,6.003218647,30.82581418,87.84938611,-14.16534629,6.96362637,6.849828558,-15.12584525,-0.26036284,7.488935145,0,0,0,0,0,0,
27.68692932,6.416554032,74.54938659,6.585984718,24.59967078,86.96869922,-15.29441396,6.964254749,7.983103785,-18.50713437,10.77499227,0.678359652,0,0,0,0,0,0,
27.40806639,6.148859075,81.07095494,6.014513516,24.75378145,87.77254787,-14.666499,7.095535212,7.325381268,-16.90236205,5.915434727,6.098806314,0,0,0,0,0,0,
27.48867597,8.00480255,77.94593974,5.907769703,24.58025386,88.9532197,-15.54518541,6.992671649,7.825981264,-18.03972696,9.588382353,-1.16067379,0,0,0,0,0,0,
27.39837641,7.881832696,83.63791463,5.844608796,24.57868274,89.09864605,-14.18295987,7.03515718,6.869684316,-14.53209022,5.03416286,4.612920821,0,0,0,0,0,0,
27.71246269,3.328345321,79.6646409,5.755693909,30.60871761,89.52368351,-16.07829211,5.0056062,10.19670328,-19.52870661,-0.63303976,6.513863516,0,0,0,0,0,0,
27.56307899,4.469123912,70.36389984,5.351377948,30.60667025,92.33674328,-14.43040465,7.770689105,0.321241568,-18.68901373,-1.020291824,6.681556007,0,0,0,0,0,0,
27.30746652,6.602769617,76.31931586,4.577904701,24.54845627,93.35216672,-14.15321057,7.848311875,0.410950371,-16.29820642,5.677893157,5.830579,0,0,0,0,0,0,
27.31364784,8.646381642,78.55308955,4.746416081,24.52222213,94.73306892,-13.60345245,7.436046993,0.486526288,-14.1090125,4.925590775,4.258674084,0,0,0,0,0,0,
27.57122939,4.407448336,73.28576745,5.311962111,30.50226887,92.41187813,-15.41008519,7.93369121,4.460801696,-19.31964514,-1.04670919,6.504217347,0,0,0,0,0,0,
27.66737089,4.172948783,77.45019583,5.307188988,30.34011615,92.87473066,-15.93664736,6.625185243,7.573339357,-19.55031921,-0.697436121,6.876654504,0,0,0,0,0,0,
27.49721444,4.445045172,82.45197747,5.317809105,30.36327468,92.54497121,-15.7876951,6.631195131,7.554748998,-17.49493491,0.012618439,8.365032614,0,0,0,0,0,0,
